step,train_loss,train_acc,dev_loss,dev_acc
0,2.3071489334106445,0.1035,2.301612377166748,0.10228571428571429
100,0.5418463945388794,0.81825,0.5181070566177368,0.8147142857142857
200,0.3939352333545685,0.846,0.43889179825782776,0.839
300,0.45922645926475525,0.86325,0.3962181508541107,0.858
400,0.24333785474300385,0.872,0.3712267577648163,0.8695714285714286
500,0.27872735261917114,0.8635,0.37289682030677795,0.8605714285714285
600,0.312979519367218,0.88175,0.33675554394721985,0.878
700,0.27257418632507324,0.895,0.3217960298061371,0.8828571428571429
800,0.3232559263706207,0.89525,0.3183213174343109,0.8862857142857142
900,0.24461126327514648,0.8945,0.2984236478805542,0.8957142857142857
1000,0.22414855659008026,0.8915,0.31295061111450195,0.8898571428571429
1100,0.2497146725654602,0.892,0.29418784379959106,0.893
1200,0.34658047556877136,0.89575,0.291564404964447,0.8945714285714286
1300,0.3522367775440216,0.905,0.2676033079624176,0.9045714285714286
1400,0.3950667679309845,0.90275,0.26700812578201294,0.9072857142857143
1500,0.21771204471588135,0.91925,0.2566055953502655,0.9104285714285715
1600,0.1846296191215515,0.91575,0.26624947786331177,0.9077142857142857
1700,0.1937236338853836,0.91325,0.26453617215156555,0.9075714285714286
1800,0.14609602093696594,0.91525,0.2782469689846039,0.9038571428571428
1900,0.1912471055984497,0.923,0.25575026869773865,0.9098571428571428
2000,0.16010767221450806,0.92325,0.25664570927619934,0.9098571428571428
2100,0.20664772391319275,0.92875,0.23827317357063293,0.9165714285714286
2200,0.13605627417564392,0.9225,0.25365567207336426,0.9132857142857143
2300,0.24020500481128693,0.927,0.24830389022827148,0.913
2400,0.2249506115913391,0.925,0.25028327107429504,0.9141428571428571
2500,0.15957383811473846,0.92875,0.24983729422092438,0.9117142857142857
2600,0.24226713180541992,0.93775,0.24104122817516327,0.9161428571428571
2700,0.20234672725200653,0.9295,0.23684097826480865,0.916
2800,0.18230634927749634,0.93775,0.2346397042274475,0.917
2900,0.21987392008304596,0.94275,0.23250481486320496,0.9184285714285715
3000,0.23049557209014893,0.93275,0.23051542043685913,0.9187142857142857
3100,0.18938323855400085,0.9325,0.2280443012714386,0.9188571428571428
3200,0.21075846254825592,0.93525,0.23465992510318756,0.9185714285714286
3300,0.12080583721399307,0.94275,0.2304343730211258,0.917
3400,0.19113507866859436,0.93725,0.22932325303554535,0.9197142857142857
3500,0.10368499904870987,0.93675,0.2331344336271286,0.9204285714285714
3600,0.10377570986747742,0.941,0.23137980699539185,0.9171428571428571
3700,0.1565549671649933,0.94075,0.22497723996639252,0.919
3800,0.15650416910648346,0.93675,0.22646282613277435,0.9202857142857143
3900,0.08588381111621857,0.94175,0.21985183656215668,0.9214285714285714
4000,0.14003977179527283,0.9465,0.23026394844055176,0.919
4100,0.14112544059753418,0.9415,0.22862794995307922,0.9184285714285715
4200,0.28265565633773804,0.939,0.22888676822185516,0.9184285714285715
4300,0.26853635907173157,0.942,0.2235957831144333,0.921
4400,0.11619932949542999,0.939,0.22285965085029602,0.9202857142857143
4500,0.16463108360767365,0.9395,0.21886742115020752,0.923
4600,0.19661854207515717,0.9455,0.22196973860263824,0.9207142857142857
4700,0.22673754394054413,0.9485,0.2194298505783081,0.9235714285714286
4800,0.16265727579593658,0.94425,0.22100594639778137,0.9207142857142857
4900,0.10489287972450256,0.94425,0.22768031060695648,0.9198571428571428
