step,train_loss,train_acc,dev_loss,dev_acc
0,2.301828622817993,0.192,2.2975962162017822,0.18528571428571428
100,0.6433742642402649,0.8135,0.5307892560958862,0.8062857142857143
200,0.5327304005622864,0.8465,0.456298828125,0.836
300,0.26116743683815,0.86675,0.3900115191936493,0.8627142857142858
400,0.24458734691143036,0.89775,0.3414424657821655,0.88
500,0.23140157759189606,0.887,0.32462945580482483,0.8805714285714286
600,0.2654018998146057,0.89575,0.31112581491470337,0.886
700,0.2023976743221283,0.89825,0.30441030859947205,0.8914285714285715
800,0.2023226022720337,0.89725,0.30661383271217346,0.8908571428571429
900,0.23360341787338257,0.90825,0.2823428511619568,0.9007142857142857
1000,0.32019752264022827,0.914,0.269986629486084,0.9037142857142857
1100,0.29761794209480286,0.905,0.2825627028942108,0.9018571428571428
1200,0.22695603966712952,0.91325,0.277922123670578,0.9018571428571428
1300,0.27599531412124634,0.91125,0.2644523084163666,0.9051428571428571
1400,0.18583694100379944,0.91625,0.2656034231185913,0.9052857142857142
1500,0.337205171585083,0.91875,0.24965661764144897,0.9117142857142857
1600,0.1028224304318428,0.9265,0.24848102033138275,0.9118571428571428
1700,0.3452242314815521,0.92025,0.25648993253707886,0.9097142857142857
1800,0.3082231283187866,0.9085,0.2697179615497589,0.9048571428571428
1900,0.31646648049354553,0.9175,0.2680705487728119,0.905
2000,0.24522019922733307,0.931,0.24450814723968506,0.915
2100,0.2949453294277191,0.92575,0.2538859248161316,0.9104285714285715
2200,0.09484971314668655,0.92825,0.24526052176952362,0.9125714285714286
2300,0.29157301783561707,0.92375,0.2567245364189148,0.9075714285714286
2400,0.19908016920089722,0.9285,0.24168722331523895,0.9155714285714286
2500,0.2837378978729248,0.93275,0.23508070409297943,0.9144285714285715
2600,0.15918627381324768,0.9205,0.2557213604450226,0.912
2700,0.15028828382492065,0.92725,0.25470656156539917,0.907
2800,0.10029077529907227,0.93725,0.2399194836616516,0.9145714285714286
2900,0.19979706406593323,0.93,0.2432282567024231,0.914
3000,0.2363995909690857,0.935,0.22416287660598755,0.9208571428571428
3100,0.10372929275035858,0.936,0.23028673231601715,0.9171428571428571
3200,0.23897430300712585,0.93275,0.23069939017295837,0.9157142857142857
3300,0.1998158097267151,0.94175,0.24203255772590637,0.914
3400,0.28246986865997314,0.947,0.24125346541404724,0.9204285714285714
3500,0.17863547801971436,0.93825,0.2408715784549713,0.9127142857142857
3600,0.14769484102725983,0.92475,0.26985451579093933,0.9028571428571428
3700,0.1456194818019867,0.94425,0.24296323955059052,0.9174285714285715
3800,0.19509172439575195,0.9475,0.23874753713607788,0.9155714285714286
3900,0.26531970500946045,0.9365,0.23182052373886108,0.9187142857142857
4000,0.16366809606552124,0.9395,0.27212387323379517,0.9107142857142857
4100,0.08187249302864075,0.94775,0.24565944075584412,0.9195714285714286
4200,0.11279663443565369,0.94325,0.2431667447090149,0.9144285714285715
4300,0.1830461323261261,0.9415,0.2379738986492157,0.9182857142857143
4400,0.18014465272426605,0.9455,0.23198629915714264,0.9208571428571428
4500,0.1589316725730896,0.947,0.23306752741336823,0.9215714285714286
4600,0.16904817521572113,0.956,0.23516112565994263,0.921
4700,0.2140512615442276,0.95,0.25142088532447815,0.9168571428571428
4800,0.08379752188920975,0.948,0.24704550206661224,0.917
4900,0.12909458577632904,0.9505,0.2494150847196579,0.9178571428571428
