step,train_loss,train_acc,dev_loss,dev_acc
0,79.56149291992188,0.1005,58.492210388183594,0.09571428571428571
100,3.4012417793273926,0.67575,2.7060258388519287,0.6631428571428571
200,2.163429021835327,0.7125,1.9226863384246826,0.7212857142857143
300,1.8247798681259155,0.74175,1.714382290840149,0.7322857142857143
400,1.2978429794311523,0.75925,1.4397276639938354,0.761
500,0.7935431003570557,0.7755,1.2741594314575195,0.7704285714285715
600,1.0947480201721191,0.78375,1.1805750131607056,0.7812857142857143
700,0.7697576284408569,0.794,1.1529772281646729,0.784
800,0.7610633969306946,0.781,1.1009794473648071,0.7841428571428571
900,1.0332591533660889,0.802,0.9959492683410645,0.7945714285714286
1000,1.0528254508972168,0.8215,0.9001076817512512,0.8044285714285714
1100,0.7378384470939636,0.819,0.8916100859642029,0.8038571428571428
1200,0.7710699439048767,0.82,0.8299393653869629,0.8078571428571428
1300,1.2353302240371704,0.819,0.8209493160247803,0.806
1400,0.3721636235713959,0.82125,0.7923834323883057,0.8034285714285714
1500,1.3899682760238647,0.8185,0.7868033647537231,0.7981428571428572
1600,0.46262362599372864,0.82175,0.7435135245323181,0.8088571428571428
1700,0.6971513628959656,0.837,0.7415406107902527,0.814
1800,0.6521361470222473,0.8255,0.7140073180198669,0.8142857142857143
1900,0.643276035785675,0.83025,0.6962190270423889,0.8195714285714286
2000,0.7544122934341431,0.8335,0.6505025029182434,0.817
2100,0.6793054938316345,0.84675,0.6632707118988037,0.8224285714285714
2200,0.26423531770706177,0.8335,0.6655573844909668,0.817
2300,0.4412229061126709,0.83425,0.6501358151435852,0.826
2400,0.5964275598526001,0.83875,0.6030760407447815,0.8288571428571428
2500,0.42496490478515625,0.84,0.5999696850776672,0.8267142857142857
2600,0.4113631844520569,0.85025,0.6024594306945801,0.828
2700,0.3896992802619934,0.843,0.5947780609130859,0.8264285714285714
2800,0.3073214292526245,0.86525,0.5695884823799133,0.8374285714285714
2900,0.4826982617378235,0.843,0.593302845954895,0.8288571428571428
3000,0.4417945444583893,0.85,0.5404109358787537,0.8341428571428572
3100,0.21825481951236725,0.85525,0.5491436123847961,0.8347142857142857
3200,0.4922413229942322,0.85325,0.5357779264450073,0.8415714285714285
3300,0.5484250783920288,0.86,0.5546783804893494,0.8377142857142857
3400,0.6338604092597961,0.86825,0.5319667458534241,0.8418571428571429
