step,train_loss,train_acc,dev_loss,dev_acc
0,2.2955920696258545,0.097,2.3014516830444336,0.10285714285714286
100,0.6858575344085693,0.81675,0.53007972240448,0.8095714285714286
200,0.4946756064891815,0.84325,0.47185173630714417,0.8312857142857143
300,0.3008076846599579,0.8605,0.3961147665977478,0.8581428571428571
400,0.2866579294204712,0.89,0.3526691198348999,0.8744285714285714
500,0.2437664419412613,0.889,0.33663854002952576,0.8797142857142857
600,0.30357158184051514,0.889,0.3249179720878601,0.8835714285714286
700,0.19939696788787842,0.89075,0.31635284423828125,0.8882857142857142
800,0.2017263025045395,0.89075,0.3136710524559021,0.8861428571428571
900,0.2554507553577423,0.9035,0.2958901822566986,0.8941428571428571
1000,0.3075050115585327,0.91,0.28536394238471985,0.898
1100,0.3217865824699402,0.90475,0.27996382117271423,0.9041428571428571
1200,0.21978284418582916,0.9085,0.2711296081542969,0.8992857142857142
1300,0.3093753457069397,0.90875,0.25242915749549866,0.9075714285714286
1400,0.18620990216732025,0.91525,0.25107088685035706,0.9081428571428571
1500,0.32358914613723755,0.92175,0.24415326118469238,0.9127142857142857
1600,0.16184143722057343,0.9205,0.24371768534183502,0.9128571428571428
1700,0.3535860478878021,0.92,0.25544866919517517,0.9094285714285715
1800,0.2941441833972931,0.919,0.24930834770202637,0.9114285714285715
1900,0.29308831691741943,0.9175,0.2522057890892029,0.9081428571428571
2000,0.24937546253204346,0.93025,0.23859858512878418,0.9155714285714286
2100,0.3314804136753082,0.92225,0.24571935832500458,0.9095714285714286
2200,0.11109572649002075,0.92125,0.24135249853134155,0.9128571428571428
2300,0.30280885100364685,0.9195,0.2489253282546997,0.9114285714285715
2400,0.26644009351730347,0.9315,0.2281906008720398,0.9167142857142857
2500,0.2867031395435333,0.9305,0.23026517033576965,0.9151428571428571
2600,0.1338822990655899,0.9285,0.22486281394958496,0.9207142857142857
2700,0.19015680253505707,0.9415,0.22327552735805511,0.9207142857142857
2800,0.12043692916631699,0.9365,0.22057780623435974,0.9207142857142857
2900,0.14190620183944702,0.93075,0.22498120367527008,0.9207142857142857
3000,0.2382166087627411,0.93275,0.21797166764736176,0.922
3100,0.10718440264463425,0.93475,0.2193133682012558,0.9221428571428572
3200,0.2025919407606125,0.934,0.21964380145072937,0.922
3300,0.18930655717849731,0.9385,0.2214912325143814,0.9221428571428572
3400,0.25759178400039673,0.94325,0.2179376780986786,0.9244285714285714
3500,0.12760549783706665,0.94175,0.21718908846378326,0.922
3600,0.15441273152828217,0.93675,0.22881774604320526,0.9171428571428571
3700,0.16028620302677155,0.93975,0.21583840250968933,0.9228571428571428
3800,0.19044727087020874,0.944,0.21574200689792633,0.922
3900,0.19476783275604248,0.93925,0.21150937676429749,0.9234285714285714
4000,0.09211864322423935,0.9505,0.21339190006256104,0.9227142857142857
4100,0.0803503543138504,0.94825,0.214004784822464,0.9242857142857143
4200,0.1923968493938446,0.94375,0.21488170325756073,0.9212857142857143
4300,0.22053617238998413,0.94375,0.21633942425251007,0.9247142857142857
4400,0.16771277785301208,0.94225,0.21432256698608398,0.9255714285714286
4500,0.14488044381141663,0.94125,0.21647824347019196,0.9218571428571428
4600,0.1634509414434433,0.949,0.2144954800605774,0.9248571428571428
4700,0.23942036926746368,0.95025,0.21321025490760803,0.9224285714285714
4800,0.11665283888578415,0.9485,0.21473205089569092,0.9208571428571428
4900,0.1588890254497528,0.943,0.21333925426006317,0.9257142857142857
