step,train_loss,train_acc,dev_loss,dev_acc
0,2.3053340911865234,0.09725,2.301015853881836,0.10242857142857142
100,0.6282623410224915,0.79225,0.5658089518547058,0.7884285714285715
200,0.5494463443756104,0.8395,0.4238269031047821,0.8472857142857143
300,0.3330177962779999,0.86775,0.3873458504676819,0.8602857142857143
400,0.32839342951774597,0.86975,0.3937021791934967,0.8617142857142858
500,0.5964067578315735,0.865,0.37827226519584656,0.8594285714285714
600,0.36677849292755127,0.88275,0.3424466848373413,0.8812857142857143
700,0.33664530515670776,0.8955,0.3118305206298828,0.8887142857142857
800,0.27283066511154175,0.88825,0.3053973913192749,0.8857142857142857
900,0.25652793049812317,0.90075,0.3037661910057068,0.8935714285714286
1000,0.24669556319713593,0.89975,0.3032561242580414,0.8905714285714286
1100,0.15906359255313873,0.895,0.29173004627227783,0.8944285714285715
1200,0.38107001781463623,0.90875,0.2914905846118927,0.8972857142857142
1300,0.32182762026786804,0.916,0.2730453610420227,0.9045714285714286
1400,0.20560850203037262,0.914,0.2594960033893585,0.9074285714285715
1500,0.2630510926246643,0.91425,0.26136866211891174,0.9085714285714286
1600,0.20352205634117126,0.91525,0.263983815908432,0.9047142857142857
1700,0.1396646946668625,0.91625,0.26006126403808594,0.9081428571428571
1800,0.21371376514434814,0.91075,0.26126617193222046,0.9065714285714286
1900,0.1440560519695282,0.92275,0.2542656660079956,0.9107142857142857
2000,0.196985125541687,0.927,0.2565411329269409,0.9072857142857143
2100,0.20124605298042297,0.925,0.24274876713752747,0.912
2200,0.18914258480072021,0.92775,0.2400544136762619,0.9155714285714286
2300,0.2917562425136566,0.91825,0.26125043630599976,0.9097142857142857
2400,0.10401545464992523,0.932,0.24385978281497955,0.9108571428571428
2500,0.22737866640090942,0.92775,0.23672814667224884,0.9152857142857143
2600,0.08985426276922226,0.93725,0.23519447445869446,0.9151428571428571
2700,0.09319544583559036,0.9325,0.23224669694900513,0.9171428571428571
2800,0.11746876686811447,0.93775,0.2326173037290573,0.9187142857142857
2900,0.26469743251800537,0.9425,0.23074956238269806,0.9175714285714286
3000,0.15513606369495392,0.9345,0.22960391640663147,0.917
3100,0.13737568259239197,0.93475,0.23201122879981995,0.9181428571428571
3200,0.08334656059741974,0.93075,0.23096634447574615,0.92
3300,0.057468608021736145,0.93975,0.23332995176315308,0.9168571428571428
3400,0.11226848512887955,0.93625,0.22937647998332977,0.918
3500,0.12542599439620972,0.93525,0.22809500992298126,0.9168571428571428
3600,0.14292219281196594,0.92975,0.23548175394535065,0.9168571428571428
3700,0.16782760620117188,0.94025,0.22381308674812317,0.9217142857142857
3800,0.22599449753761292,0.94375,0.22581781446933746,0.92
3900,0.17033059895038605,0.9425,0.22091172635555267,0.923
4000,0.16341713070869446,0.94575,0.22057068347930908,0.9225714285714286
4100,0.10016396641731262,0.94625,0.2202787846326828,0.9238571428571428
4200,0.28111159801483154,0.9425,0.22499963641166687,0.9228571428571428
4300,0.10931846499443054,0.94275,0.22088834643363953,0.9207142857142857
4400,0.2747980058193207,0.94375,0.22769223153591156,0.9202857142857143
4500,0.14792630076408386,0.9415,0.22345417737960815,0.9224285714285714
4600,0.15398214757442474,0.9425,0.22044983506202698,0.9241428571428572
4700,0.1428961306810379,0.9385,0.228765606880188,0.9197142857142857
4800,0.1290830373764038,0.946,0.225719153881073,0.923
4900,0.20691542327404022,0.94475,0.22291472554206848,0.9225714285714286
